# Extent Types ...
<ExtentType name="DataSeries: ExtentIndex">
  <field type="int64" name="offset" />
  <field type="variable32" name="extenttype" />
</ExtentType>

<ExtentType name="DataSeries: XmlType">
  <field type="variable32" name="xmltype" />
</ExtentType>

<ExtentType name="complex test type">
  <field type="bool" name="bool" />
  <field type="bool" name="null_bool" opt_nullable="yes"/>
  <field type="byte" name="byte" />
  <field type="byte" name="null_byte" opt_nullable="yes"/>
  <field type="int32" name="int32" />
  <field type="int32" name="null_int32" opt_nullable="yes"/>
  <field type="int64" name="int64" />
  <field type="int64" name="null_int64" opt_nullable="yes"/>
  <field type="double" name="double" />
  <field type="double" name="null_double" opt_nullable="yes"/>
  <field type="double" name="base_double" opt_doublebase="100000"/>
  <field type="variable32" name="variable32" />
  <field type="variable32" name="null_variable32" opt_nullable="yes"/>
</ExtentType>
# Extent, type='complex test type'
bool null_bool byte null_byte int32 null_int32 int64 null_int64 double null_double base_double variable32 null_variable32
F T 49 226 -285888682 null -5809765599669558022 null 0.526675524 null 102339.536 20DA207B7D9064CAA813D3586B15FFA6 0798B1CF0089C4964B3F9A739D8E1804
T T 46 null -936679419 null -2805091960627672899 1271337498723208516 0.228690031 null -5270.89208 D7337ACF2BC62412D4D231DBECBEDFA6 48BA838CC5D9A73FC8A5D06C4A8F21BE
T T 88 null -802687722 1904568019 -4928409692380443193 -516330540028978118 0.898979849 null 90333.0949 0F248AB0DDCD95218FB784F0B957C91F null
F null 151 77 -205722563 827106849 -6290711293922003753 3560995317325943550 0.2168073 0.830905844 148275.988 586A5338CD16BE7AB1FC62BC8521622C E1577DCE4D438559CDED6E73B2E83E3A
T T 123 125 -945986607 null 8104099047109632421 314087969857285706 0.761940809 0.97317516 591926.926 EB7CEFA6A9DFB1416E38F9CAA63252FD null
F null 243 null 1038123047 null -3727306698537914036 5090760095196521108 0.97381454 null 6529.68347 2827164673BD4F0C0A68BF676DB868E4 F345965D5C626FCD5B702E65215E88E7
T T 214 null -346547750 658617606 -7965788906494734327 null 0.0270003078 0.291123401 760220.344 DEDC880E5593F0E4661F93756EA802AF null
T null 4 null 58581491 null 4402600834564497193 null 0.838576373 null 721462.135 7495B49D50FE22C7C129162D5C624EDE null
F T 190 null 309133739 null -582316877129097801 null 0.66396483 0.0915285232 3715.59344 94CABFF1736EF24421B69C0F83AEACC3 B921C11A3D522084ACF0E1C9D5AD0F64
F F 61 null -910563697 1972901148 -229619669654819858 null 0.365377298 0.74290748 345447.279 6022E6C046274CF7FE285CE0A4A91775 null
F T 243 null -827026409 600393934 404782068497569637 -1355916307843205322 0.508605154 0.897952837 -43372.7908 CB950256D7E052BCAD3A46E03D5AF265 null
F F 227 251 794024288 null 7826331431370663717 -7494584267592337090 0.356076636 null 325535.953 835693F5099EEBDCC0DE70576490DE95 EBF8E37A6AC851EA8BCC6D0E9B047C07
F F 141 null -610097912 null -8931032213516858732 null 0.266946404 0.975899669 298961.219 191D07548841AEB7E52A6E7CDBA49EE5 600636BCF4F32C08CA0F09A6940BE81F
T F 254 null 1554963379 -1752671960 7485680108932335406 null 0.860968511 0.879035971 660649.439 EFF9B57019E0E6E3F0496F4C4ABB07F6 E7564C82873129181A5F20F6585BBC14
F null 124 125 2045950854 532931623 201434267745400506 null 0.758798832 null 370906.019 21FC53B5CEFA02B6269CECCF81CD385F null
F T 87 null -186987754 -446019430 -5068949148230228129 null 0.526970375 0.0769141634 -77571.694 ED2A99DF5B8573E2C403668765B71682 A6F91E7A0C045B9EE7AE49862800E99F
T null 227 3 1499891832 null 7288365671812963145 -8271686118686603125 0.205668943 null 828441.73 97621BBC19C27EC1E4E6D4B6706C4577 1577872F38A3687347323F246E8264DA
F T 52 null 1316768256 null 6830015438900088779 null 0.609369665 0.338518213 745054.041 7E7E73107D61587CA74CB05E243D27ED 876B405A9737D268335C749BDADD7B78
T null 39 218 -211634602 null 7586844276867925596 null 0.545622912 null 536383.439 ADC1EF8E45F60702A63BF6370C50E385 AF421C0FAE971B96E8370905DF61956B
F F 123 null -674311302 -2103077857 546004549940284599 7669382377633870023 0.142840399 0.468462271 731216.935 A2B6B55CDE33A37E5C7063DDF3CF3B29 null
F T 86 224 -1799215120 1359015972 7731919245523985482 -1185686706522418513 0.8923545 0.600815049 481622.97 472EEA5367213F66D54519098879AF3D null
T null 112 null -1343346080 null -2967954615950504092 1264140706992928073 0.716440835 0.252981886 341754.889 CED177206C8530EE4B8CA4C0A9AFB42C 965059B191E649EF33CC4C0D3114D92E
F F 226 null -1383228227 1013398719 7330534961398410210 -8727069529985049361 0.0806269635 null 450197.535 E64E696411229EB93C004D168E997E52 null
F null 140 98 2084667906 null 4228107757403115897 null 0.833629791 null 534413.569 4A8E9A95E2D1A74B2D8315C71ED04C62 1CB08F8CE678F1562DA6BAFF2D4F3F43
T null 137 null -611266427 null -2945295841809621308 null 0.711487287 0.728631055 481507.626 E8E3F86B76F7FD891EDF11C0B70EE71D B0BB2824D1BB85C027590D8383C2AE53
F null 100 225 -366750226 null 6724832681696975090 null 0.840017571 0.0954678651 120344.415 CF2E7BA5FEEA084D031332FC7839BBD4 null
F null 163 null 2015606603 1274552954 -3774157035542851162 null 0.650596057 null 798891.351 C50A64C20889C47725743B135365C9B8 null
T T 206 null -415392745 446551047 -7918908584049190519 6696432052655418323 0.856037536 0.328004812 734470.138 57B4B3FFFABB3C6EA23572F91F588723 null
F F 83 34 -1123802096 97242931 5917878378446053091 null 0.611878556 null 729256.098 B40A73705E0F5AB8EB41C385CCEDA4D8 null
T null 25 126 1370558697 -1408695718 6412874278339906023 7429076052417854125 0.290559556 0.147735336 434801.701 1E54D6A1A5A2AB0098EBD332E1B41411 8F1598E619C6CDF6CA0184781271C34E
F null 220 null 745524075 null 7051860619339699914 null 0.865315542 0.534052062 875791.405 B2C4E291F22A75B670E0AA57363E3E01 7F0912202DF42E700199433389DB017C
T T 14 1 -662246994 null 7804278425843683983 null 0.165463175 null -31346.4066 D4B85F8C71B1B82268089848092BB0EE 646B16CB9E3413D5784267EB568106FF
T null 122 1 -105509434 -443748824 -368885100709445559 null 0.0824359055 0.478517745 250842.412 036FCFAE3541B13E8FAE346EC8258928 null
F F 190 null 2044291212 1263992141 402458900137458347 null 0.968702626 0.00322264757 277570.911 2F32A20D3288E779F4CE03159D16F4DC FB9ABF0F2BAE693C50F9CDB74F93A5A0
F null 135 null 2068020731 -1739136530 6340128180645114709 null 0.353925195 0.925394462 651667.427 6BBBCB861D348AB67BE7BCA78B9E0571 null
F T 227 null -882653482 472273203 4593210098704666973 null 0.224163215 null 378018.45 F80522DB6FCBF798F6F736AA5267D350 ADE1FF85B12A88994BA81ECD209E0BE5
F T 11 null -1319863735 -392597514 8516545647157371895 null 0.24062482 0.937408119 809911.853 B4D2EBAA1916B258AAE850BC13D5EF91 815CDA9EBD75C3F150230804C747E20A
F F 140 200 808901095 null -169601365138241697 null 0.456091293 0.175585404 157783.558 E494ADA8E881085769F7AA39BB5C4C10 B7D28778DBCC406AAAE655BA192B00E8
F null 124 null 924552087 null 6084955206916613972 -3884375402739170260 0.092880514 0.514033633 842149.072 182A6D4255CFED6893E7F9A9E0B9AC6A BD3395467351A41D759491113B02E012
F F 28 null -462459336 null 5388716149167054371 -6410359729405388705 0.512113174 0.888686382 590554.905 392C70ED7E468D0595CBE73DFD19DB18 null
T F 127 104 -839972131 566351689 -6225283107502815092 null 0.0841139439 null 25493.4239 6BD9E4FE10A79C613BEC18EFFEF24240 null
T F 6 74 1586017466 null -5625918869177932965 null 0.172015753 null 786216.217 4A0B722F25BED979D398265ABC9C7DBD 8C0F56C8C81841576FE56A328E82E26E
T F 195 null -695498003 -1920983313 4593656557662065542 6510291103673456939 0.966754706 0.0962504295 490985.937 8B72031D5AEC457BA68D8834845FD8C5 null
T null 241 null 1942008834 903787334 2877837552390882488 -6911022081453840874 0.169101596 null 844425.738 0869676F734139E18DECAD9A849680D7 F15B3DB79300610CAB7059D0766D010E
T F 106 null 1480379184 null 9045503742544179786 null 0.412597979 0.493673669 4699.02884 4C803F6239D522D7D4608E7DDD1793E9 null
T null 36 null 1284095089 null 955267029506376016 null 0.996068518 null 668613.063 BCF117E102D6768247323FC3F70E6A3D 8D072EFE80854BA86F69C7BFAD7C92D0
F F 17 56 72738079 1284898847 3102658483412104275 null 0.296195256 0.955181163 271883.409 995558E3EA28333F2724610EFF0B73CF DFE187FF3DAD0248D7DCF7BCDCD5A6E6
T null 30 null -1296097904 null -1463851659029642217 null 0.885991551 0.897375502 814227.241 A30BAE638EE40237C5BC74DF91EC09A1 null
T T 109 248 422870004 null -8582795516886632790 -2931346605909168804 0.31363152 0.66133485 55408.6303 692A1BFFF2A7D9294E800CDFC649EE63 null
F F 78 252 -890521836 null -782554144552077391 null 0.628615635 null 535579.735 0BDAF98FDBBC40AB219AA67087985347 A237A61B86F445C4C9914BE6739738D5
F F 123 75 257087868 -1012261879 -135665289767589498 -6089621878382164572 0.623712512 0.401943307 141999.727 32EA65AB68A1C6E537F83C1F4F43592A null
F null 99 null 1712065841 null 2177031721741012283 null 0.196702815 0.206670507 64013.2379 934F07F91067EE933F837FFA6B2E855C null
T F 244 219 -435089862 1196680801 6234500385213405259 8285226406818268040 0.575240871 null 611300.879 7C235FC77F9827487FD6426F50544EFC FF1E6348BB5C94D0A42C02C82037E35E
F T 185 null -1992152766 1216876494 1002000412173984735 null 0.793535554 null 438622.98 369E4E5BC2D68D42CCA7EE9A41C22AEA null
T null 125 null -1287788311 null 416436207579449699 927785901000992770 0.604702844 0.298710278 840642.642 9B6BB0F2968B993A650FFBD9E3A1F231 2DAD8416AEF0E9E5240D7C7C544032C8
F null 237 null 624186207 730472552 3985385169495582991 null 0.476305864 0.413514664 625595.424 3C042AA149BB7767AC6A9729708C437C 01568B36E180E2B8B9023F0485754930
T T 17 null 955178052 null 7900317910231392926 null 0.613524487 0.664965866 292945.612 E1033AB2C4C790106FEF0C17A750443F null
T F 30 136 -1769646191 1316160443 -8426055921941739779 -6626292381878434663 0.97279561 null 193247.429 BCEE633166FB00D48134506C4ABBC1B0 null
T null 15 183 -504849393 null 8523355079366412286 315273660629154707 0.863217104 null 261660.802 83693A298A8A2B6471DC67D7FEDD3324 979E5ED4C4E4114C890CEAA1FA361385
T null 159 null -298893900 null 2410532759426972244 null 0.320919975 0.158359297 667671.107 32F1A81861AF9621496C0CF7FF632C34 null
F F 225 1 525207272 -572043882 6703047848135949738 4989075667426791969 0.58550239 0.348646725 224092.29 EF5E231DBA0D4787978E8D049C799D55 4B7A48D19108EB5AE6A5195B4AE567E0
F T 3 64 -463060764 -2005497143 -8959514717204732014 null 0.785229426 0.730740289 417474.435 4ED088852ECD121AEA26E06B7679FD57 243F2FFFF8C8ECBC514065DA3ECE4F63
F F 170 null 1643402553 null -5704800304021372345 null 0.0917299746 null 172591.878 50AF037834ED2BF02D0D2A24D773B0A4 null
T F 48 null 1158234100 null 5824617775575413877 null 0.286736295 null 280168.475 0A44A0A9274FD0AD73B5EB3F4130B441 FB67AF08635BF851183F31165EAB7682
T null 42 24 1313665991 null -5924384859271923101 null 0.645402136 0.906762084 -29794.8031 6540D9818D2BB7F3059E7ED95BFC6FC2 null
T null 182 null 1106965044 1099319179 3304315215779258275 1555344218164714986 0.960009692 null 197581.299 360EEFA27D9050342BBFDB1B4616EFD8 3C056AF443968C46448A170C976625A8
F F 18 null 1614946560 1083349452 -5096555036374599773 1160292261101325043 0.0850805918 0.45692115 -71183.8904 50472E50BCF8B60C3D4593BF2BE5B45A null
T null 134 null 1915913075 1962564450 -4257878197916192536 null 0.0372049404 0.38506085 346531.651 8C9A6EBCBE99287093E74A2796A289B1 B06C5BD7DF03ACB0AF8CB7B624A752C6
T T 203 null 1182903570 null 4982381575037506272 5992099342197903407 0.272456015 0.0870644166 753076.071 E78C896BEB106E62C27881EA43A69F80 C6BC07EC5B5A508C57E4829EC2F887C1
F F 60 null -1254331337 1376321941 2251492519325042073 null 0.866843631 null 828100.219 39A86159DE97C2F95F976977F4C3F27A 0F73658DDDE7F652FB1B15F2A4C75448
T T 59 28 1010033861 -7183390 -1087144026185005354 4901069015007345898 0.418852762 null 610045.022 1838E84CFCCC383AFBAE5CD3B62BC0F8 null
F T 126 12 -630748732 null 2376247378274064997 null 0.782383976 null -17062.1072 706693FBAF1985C4CD26B1DC3E377E0F C432144BFB7805FE6FAC112848ABE0C5
T null 3 59 74881605 null 6245566309385459104 null 0.321782253 null 472547.324 4E06C46C849E49F9162A80AFD948899F 18C630DC63E4D1EF7C622720D163C7E9
T null 213 190 2052857812 220981602 8349338774841137030 -3811685717373727651 0.395246507 0.426063226 736951.472 7999CFAC2FF17B9FCAA5A48E5E2ACEB0 null
T T 64 null 914021786 null 3828553831746364694 null 0.284531295 null 872305.354 9775D55458132C587F49E0EE67F83FC6 488F0E82EF922DFD3789673B92F74831
F null 112 null 742546533 1242039098 579657771565183327 null 0.58697291 0.813250132 -7613.39111 61810B080EBBF3D8F246FFB1C04B627D null
T T 22 null 1688123323 null -5810699563526684648 -8122087237305399448 0.289708331 0.173049368 409697.254 C178566341FF94D054F1CD999EC1082C null
T T 127 null -1806523239 302876438 8598350183942982259 null 0.738261674 null 132392.847 EDC8EA000CAB5FA3F34F1662623C84CD null
T T 239 7 -142908763 null -6408650558299566984 6945005406722280339 0.842291152 null 368431.534 21B5F2299CA7E3A52A07F15FA77B6A6F 1D578FADABA38185537344E9361F0515
F null 166 130 902975236 null -7861762521236798550 7284919783179579 0.553527761 null -74380.4216 9C5B1F0ABC7D9E7032DF0249DBBE33CD null
F null 21 24 1001705418 null 675220373692280588 null 0.728851819 0.0180295814 -5498.8278 48B0DE3159B0CB22B3FA5BCA34380F40 F5CF2534452930BE144633B4BC40ECF5
F F 143 40 -353815816 629409811 6385242730385029982 -8582714037908845724 0.259215406 null 344517.317 9547E975E59E6ACFE2647AC2FB9127E5 null
T null 255 null -1488102295 null 6127167378584888536 null 0.950401081 0.0996553419 284627.924 8E1CCEBE9739895B1971AFF37797399F null
F null 138 181 1183760588 -1259971804 5226718509762314530 null 0.114673801 0.165559759 335495.028 EC217BA448C6E14F9058899A4FE35577 null
F null 9 null 1762041169 null -6400925883784526229 null 0.757041637 null 440809.329 EDDD82E355069E5D85A249A4253C747E null
T null 134 null 1220377937 null 452019192953622905 8158663881984938339 0.175714124 null 138902.08 45B4F5D41073649267E8D344C82A89D3 null
F null 1 37 -452041340 null 7123136680553809902 2448552940065153244 0.198933337 0.645056309 677699.138 38F98072FFF3286529A6AF44DA2ADADB null
F F 240 null -1212932046 null -4255896616123354798 null 0.76309999 null 557860.592 0DF926AF53233B6FDEB8EEFCF1FDFF5F null
T null 28 null 757568094 null -3960021886030674995 null 0.507322239 0.695812501 158071.522 5C2DC4AF04FEA73C684DDB328CA3C049 7B3047FDFC23B01D7644CD0B4FD98D28
F null 183 null -707946059 null 1874209544687142775 null 0.689251659 0.370300436 134672.378 2108318635FA4E019561BE416D9A87C7 9735E7EB91DF6E818162E1E3260CC09B
F F 81 49 529093627 -1050252188 -1567854412399077674 null 0.822448225 null 869471.756 FB3456A5C40A3CAD8AA1A3545EEA47EF 63C8FFE9723EA7C3EBDE5882E2500BA3
T T 12 null -232528086 null 4089937913138746508 -3031237249968168243 0.0410230711 0.345248277 12443.6282 DB26B0422B5871D4BE9E7EEE1BB8FD33 null
T null 61 173 -734836097 82508557 5113657138345482493 6940839380705098821 0.372672285 null 793989.328 B2E7BAC9F5C226D77B65330D4338C8FD 14A394066D072C5951E82BE2EC3DF7DA
F null 162 65 1761294165 -522347532 -7918987032347335711 null 0.0913162154 0.686968777 709590.634 00549A96C34C2536576ECCB16A71E277 CFFA05790CB0587D19CF599BB8C39582
T F 115 null -395958971 null 654765435121392087 -2385258498409357728 0.0696952556 0.972649124 67220.8509 F6007FED46EEDFC3BCFCDD05DDA846DE null
T null 172 13 948385387 -1425861617 8220209292264660292 6782528602522678894 0.667760043 0.948048413 -64493.4942 28B918B951663F8CECBE506E8FFE5D62 null
F null 81 null 1714412295 null 7748136774869557416 null 0.0714140765 null 452393.676 2BD57B0E69026DC12E50E2D58622C45D null
T null 100 null 1333275411 -1462378561 4047295681198893829 1188569434099670018 0.77332154 null 452845.9 C4FF25BCCE37D5353B0F67E8817B6E03 55D78C8295BF1E77EB65428858546415
F T 94 null -1140236205 1355765559 -1221982064515521323 null 0.460771688 0.499445041 -91466.36 82496F948359D3574A5A54BF19F93BC2 CF0E44BFD5EAA501A8DB43384197EDDD
F null 35 null -168520476 501475720 8976986701003888815 -6020827373282681248 0.679103181 0.462009664 506239.585 3713509C50589785C949056AE0B9D739 33800043F0DFB5B281A1EBF557998F16
T F 77 77 -1331303733 1832284210 1130731731486072558 null 0.663070795 0.669839377 791796.385 0360DE5842D5803521905F087DEC8B4A null
F null 252 null 1481295876 null -7337637640586320535 6155941288696097411 0.261412353 0.536084615 654872.908 70A3120DB93D78732DFF81857EC923F0 null
T T 94 30 -216126312 null -1810611182617899722 null 0.41989141 0.907037952 717772.274 0AA8AC7FDE60953119CFB13D8584F1D6 7C13B82262A81CB86F9FF4577AD99E63
T T 223 null 768492464 null 8516080877878281420 -2902557550010316558 0.64650673 0.159292692 -87225.3617 071093864ADC498204FC880B737E2D40 4C3C97AF79EFF77CBE155598AF35E370
F null 154 null 650808838 null 3104484963027451676 null 0.545248042 null 412654.036 0CBB44B52048CC8480299AAC1495374C 7191BF57074DCBF45A78486F11EC9082
T null 121 252 385787329 486260852 -7804625094955633269 null 0.118867004 null 310168.968 2EDE8C9774FE7E219DA0F18E414AE153 null
T null 165 37 88889959 2122136437 -8714773996521884573 298382566689442184 0.371962189 null 530900.547 D75FD53D846186B0AD2FD0C957E8EE49 3E7CD67EFDFC7F1874C0D866B9F80758
F null 6 null 634786206 -335428115 -5353044746367660366 null 0.593305967 0.406121651 12775.7759 66E5547EDBD810AA0760E079FF0225AC null
