# Begin DSStatGroupByModule
# processed 40 rows, where clause eliminated 1560 rows
# b, count(*), mean(a), stddev, min, max
11, 1, 11, 0, 11, 11
19.5, 1, 19.5, 0, 19.5, 19.5
17.5, 1, 17.5, 0, 17.5, 17.5
16, 1, 16, 0, 16, 16
12.5, 1, 12.5, 0, 12.5, 12.5
1.5, 1, 1.5, 0, 1.5, 1.5
1, 1, 1, 0, 1, 1
2, 1, 2, 0, 2, 2
13, 1, 13, 0, 13, 13
8.5, 1, 8.5, 0, 8.5, 8.5
3.5, 1, 3.5, 0, 3.5, 3.5
13.5, 1, 13.5, 0, 13.5, 13.5
11.5, 1, 11.5, 0, 11.5, 11.5
16.5, 1, 16.5, 0, 16.5, 16.5
12, 1, 12, 0, 12, 12
7, 1, 7, 0, 7, 7
18.5, 1, 18.5, 0, 18.5, 18.5
9.5, 1, 9.5, 0, 9.5, 9.5
2.5, 1, 2.5, 0, 2.5, 2.5
15, 1, 15, 0, 15, 15
14, 1, 14, 0, 14, 14
10, 1, 10, 0, 10, 10
8, 1, 8, 0, 8, 8
14.5, 1, 14.5, 0, 14.5, 14.5
0.5, 1, 0.5, 0, 0.5, 0.5
0, 1, 0, 0, 0, 0
4.5, 1, 4.5, 0, 4.5, 4.5
5.5, 1, 5.5, 0, 5.5, 5.5
6.5, 1, 6.5, 0, 6.5, 6.5
4, 1, 4, 0, 4, 4
5, 1, 5, 0, 5, 5
19, 1, 19, 0, 19, 19
18, 1, 18, 0, 18, 18
17, 1, 17, 0, 17, 17
7.5, 1, 7.5, 0, 7.5, 7.5
10.5, 1, 10.5, 0, 10.5, 10.5
6, 1, 6, 0, 6, 6
3, 1, 3, 0, 3, 3
15.5, 1, 15.5, 0, 15.5, 15.5
9, 1, 9, 0, 9, 9
# End DSStatGroupByModule

# Begin DSStatGroupByModule
# processed 40 rows, where clause eliminated 1560 rows
# a, count(*), mean(b), stddev, min, max
11, 1, 11, 0, 11, 11
19.5, 1, 19.5, 0, 19.5, 19.5
17.5, 1, 17.5, 0, 17.5, 17.5
16, 1, 16, 0, 16, 16
12.5, 1, 12.5, 0, 12.5, 12.5
1.5, 1, 1.5, 0, 1.5, 1.5
1, 1, 1, 0, 1, 1
2, 1, 2, 0, 2, 2
13, 1, 13, 0, 13, 13
8.5, 1, 8.5, 0, 8.5, 8.5
3.5, 1, 3.5, 0, 3.5, 3.5
13.5, 1, 13.5, 0, 13.5, 13.5
11.5, 1, 11.5, 0, 11.5, 11.5
16.5, 1, 16.5, 0, 16.5, 16.5
12, 1, 12, 0, 12, 12
7, 1, 7, 0, 7, 7
18.5, 1, 18.5, 0, 18.5, 18.5
9.5, 1, 9.5, 0, 9.5, 9.5
2.5, 1, 2.5, 0, 2.5, 2.5
15, 1, 15, 0, 15, 15
14, 1, 14, 0, 14, 14
10, 1, 10, 0, 10, 10
8, 1, 8, 0, 8, 8
14.5, 1, 14.5, 0, 14.5, 14.5
0.5, 1, 0.5, 0, 0.5, 0.5
0, 1, 0, 0, 0, 0
4.5, 1, 4.5, 0, 4.5, 4.5
5.5, 1, 5.5, 0, 5.5, 5.5
6.5, 1, 6.5, 0, 6.5, 6.5
4, 1, 4, 0, 4, 4
5, 1, 5, 0, 5, 5
19, 1, 19, 0, 19, 19
18, 1, 18, 0, 18, 18
17, 1, 17, 0, 17, 17
7.5, 1, 7.5, 0, 7.5, 7.5
10.5, 1, 10.5, 0, 10.5, 10.5
6, 1, 6, 0, 6, 6
3, 1, 3, 0, 3, 3
15.5, 1, 15.5, 0, 15.5, 15.5
9, 1, 9, 0, 9, 9
# End DSStatGroupByModule

# extents: 0.00 MB -> 0.02 MB in 0.00 secs decode time
#                    common
# MB compressed:       0.00
# MB uncompressed:     0.02
# decode seconds:      0.00
# wait fraction:       0.00
