# Begin DSStatGroupByModule
# processed 780 rows, where clause eliminated 820 rows
# b, count(*), mean(a), stddev, min, max
11, 22, 5.25, 3.17214, 0, 10.5
19.5, 39, 9.5, 5.62731, 0, 19
17.5, 35, 8.5, 5.04975, 0, 17
16, 32, 7.75, 4.61655, 0, 15.5
12.5, 25, 6, 3.60555, 0, 12
1.5, 3, 0.5, 0.408248, 0, 1
1, 2, 0.25, 0.25, 0, 0.5
2, 4, 0.75, 0.559017, 0, 1.5
13, 26, 6.25, 3.75, 0, 12.5
8.5, 17, 4, 2.44949, 0, 8
3.5, 7, 1.5, 1, 0, 3
13.5, 27, 6.5, 3.89444, 0, 13
11.5, 23, 5.5, 3.31662, 0, 11
16.5, 33, 8, 4.76095, 0, 16
12, 24, 5.75, 3.46109, 0, 11.5
7, 14, 3.25, 2.01556, 0, 6.5
18.5, 37, 9, 5.33854, 0, 18
9.5, 19, 4.5, 2.73861, 0, 9
2.5, 5, 1, 0.707107, 0, 2
15, 30, 7.25, 4.32772, 0, 14.5
14, 28, 6.75, 4.03887, 0, 13.5
10, 20, 4.75, 2.88314, 0, 9.5
8, 16, 3.75, 2.30489, 0, 7.5
14.5, 29, 7, 4.1833, 0, 14
0.5, 1, 0, 0, 0, 0
4.5, 9, 2, 1.29099, 0, 4
5.5, 11, 2.5, 1.58114, 0, 5
6.5, 13, 3, 1.87083, 0, 6
4, 8, 1.75, 1.14564, 0, 3.5
5, 10, 2.25, 1.43614, 0, 4.5
19, 38, 9.25, 5.48293, 0, 18.5
18, 36, 8.75, 5.19415, 0, 17.5
17, 34, 8.25, 4.90535, 0, 16.5
7.5, 15, 3.5, 2.16025, 0, 7
10.5, 21, 5, 3.02765, 0, 10
6, 12, 2.75, 1.72603, 0, 5.5
3, 6, 1.25, 0.853913, 0, 2.5
15.5, 31, 7.5, 4.47214, 0, 15
9, 18, 4.25, 2.59406, 0, 8.5
# End DSStatGroupByModule

# Begin DSStatGroupByModule
# processed 780 rows, where clause eliminated 820 rows
# a, count(*), mean(b), stddev, min, max
11, 17, 15.5, 2.44949, 11.5, 19.5
17.5, 4, 18.75, 0.559017, 18, 19.5
16, 7, 18, 1, 16.5, 19.5
12.5, 14, 16.25, 2.01556, 13, 19.5
1.5, 36, 10.75, 5.19415, 2, 19.5
1, 37, 10.5, 5.33854, 1.5, 19.5
2, 35, 11, 5.04975, 2.5, 19.5
13, 13, 16.5, 1.87083, 13.5, 19.5
8.5, 22, 14.25, 3.17214, 9, 19.5
3.5, 32, 11.75, 4.61655, 4, 19.5
13.5, 12, 16.75, 1.72603, 14, 19.5
11.5, 16, 15.75, 2.30489, 12, 19.5
16.5, 6, 18.25, 0.853913, 17, 19.5
12, 15, 16, 2.16025, 12.5, 19.5
7, 25, 13.5, 3.60555, 7.5, 19.5
18.5, 2, 19.25, 0.25, 19, 19.5
9.5, 20, 14.75, 2.88314, 10, 19.5
2.5, 34, 11.25, 4.90535, 3, 19.5
15, 9, 17.5, 1.29099, 15.5, 19.5
14, 11, 17, 1.58114, 14.5, 19.5
10, 19, 15, 2.73861, 10.5, 19.5
8, 23, 14, 3.31662, 8.5, 19.5
14.5, 10, 17.25, 1.43614, 15, 19.5
0.5, 38, 10.25, 5.48293, 1, 19.5
0, 39, 10, 5.62731, 0.5, 19.5
4.5, 30, 12.25, 4.32772, 5, 19.5
5.5, 28, 12.75, 4.03887, 6, 19.5
6.5, 26, 13.25, 3.75, 7, 19.5
4, 31, 12, 4.47214, 4.5, 19.5
5, 29, 12.5, 4.1833, 5.5, 19.5
19, 1, 19.5, 0, 19.5, 19.5
18, 3, 19, 0.408248, 18.5, 19.5
17, 5, 18.5, 0.707107, 17.5, 19.5
7.5, 24, 13.75, 3.46109, 8, 19.5
10.5, 18, 15.25, 2.59406, 11, 19.5
6, 27, 13, 3.89444, 6.5, 19.5
3, 33, 11.5, 4.76095, 3.5, 19.5
15.5, 8, 17.75, 1.14564, 16, 19.5
9, 21, 14.5, 3.02765, 9.5, 19.5
# End DSStatGroupByModule

# extents: 0.00 MB -> 0.02 MB in 0.00 secs decode time
#                    common
# MB compressed:       0.00
# MB uncompressed:     0.02
# decode seconds:      0.00
# wait fraction :      0.00
