# Begin DSStatGroupByModule
# processed 1560 rows, where clause eliminated 40 rows
# b, count(*), mean(a), stddev, min, max
11, 39, 9.71795, 5.84171, 0, 19.5
19.5, 39, 9.5, 5.62731, 0, 19
17.5, 39, 9.55128, 5.70851, 0, 19.5
16, 39, 9.58974, 5.75668, 0, 19.5
12.5, 39, 9.67949, 5.82819, 0, 19.5
1.5, 39, 9.96154, 5.69005, 0, 19.5
1, 39, 9.97436, 5.67038, 0, 19.5
2, 39, 9.94872, 5.70851, 0, 19.5
13, 39, 9.66667, 5.82142, 0, 19.5
8.5, 39, 9.78205, 5.84171, 0, 19.5
3.5, 39, 9.91026, 5.75668, 0, 19.5
13.5, 39, 9.65385, 5.81351, 0, 19.5
11.5, 39, 9.70513, 5.83833, 0, 19.5
16.5, 39, 9.57692, 5.74182, 0, 19.5
12, 39, 9.69231, 5.83383, 0, 19.5
7, 39, 9.82051, 5.82819, 0, 19.5
18.5, 39, 9.52564, 5.67038, 0, 19.5
9.5, 39, 9.75641, 5.84509, 0, 19.5
2.5, 39, 9.9359, 5.72576, 0, 19.5
15, 39, 9.61538, 5.78289, 0, 19.5
14, 39, 9.64103, 5.80445, 0, 19.5
10, 39, 9.74359, 5.84509, 0, 19.5
8, 39, 9.79487, 5.83833, 0, 19.5
14.5, 39, 9.62821, 5.79425, 0, 19.5
0, 39, 10, 5.62731, 0.5, 19.5
0.5, 39, 9.98718, 5.64947, 0, 19.5
4.5, 39, 9.88462, 5.78289, 0, 19.5
5.5, 39, 9.85897, 5.80445, 0, 19.5
6.5, 39, 9.83333, 5.82142, 0, 19.5
4, 39, 9.89744, 5.77037, 0, 19.5
5, 39, 9.87179, 5.79425, 0, 19.5
19, 39, 9.51282, 5.64947, 0, 19.5
18, 39, 9.53846, 5.69005, 0, 19.5
17, 39, 9.5641, 5.72576, 0, 19.5
7.5, 39, 9.80769, 5.83383, 0, 19.5
10.5, 39, 9.73077, 5.84396, 0, 19.5
6, 39, 9.84615, 5.81351, 0, 19.5
3, 39, 9.92308, 5.74182, 0, 19.5
15.5, 39, 9.60256, 5.77037, 0, 19.5
9, 39, 9.76923, 5.84396, 0, 19.5
# End DSStatGroupByModule

# Begin DSStatGroupByModule
# processed 1560 rows, where clause eliminated 40 rows
# a, count(*), mean(b), stddev, min, max
11, 39, 9.71795, 5.84171, 0, 19.5
19.5, 39, 9.5, 5.62731, 0, 19
17.5, 39, 9.55128, 5.70851, 0, 19.5
16, 39, 9.58974, 5.75668, 0, 19.5
12.5, 39, 9.67949, 5.82819, 0, 19.5
1.5, 39, 9.96154, 5.69005, 0, 19.5
1, 39, 9.97436, 5.67038, 0, 19.5
2, 39, 9.94872, 5.70851, 0, 19.5
13, 39, 9.66667, 5.82142, 0, 19.5
8.5, 39, 9.78205, 5.84171, 0, 19.5
3.5, 39, 9.91026, 5.75668, 0, 19.5
13.5, 39, 9.65385, 5.81351, 0, 19.5
11.5, 39, 9.70513, 5.83833, 0, 19.5
16.5, 39, 9.57692, 5.74182, 0, 19.5
12, 39, 9.69231, 5.83383, 0, 19.5
7, 39, 9.82051, 5.82819, 0, 19.5
18.5, 39, 9.52564, 5.67038, 0, 19.5
9.5, 39, 9.75641, 5.84509, 0, 19.5
2.5, 39, 9.9359, 5.72576, 0, 19.5
15, 39, 9.61538, 5.78289, 0, 19.5
14, 39, 9.64103, 5.80445, 0, 19.5
10, 39, 9.74359, 5.84509, 0, 19.5
8, 39, 9.79487, 5.83833, 0, 19.5
14.5, 39, 9.62821, 5.79425, 0, 19.5
0.5, 39, 9.98718, 5.64947, 0, 19.5
0, 39, 10, 5.62731, 0.5, 19.5
4.5, 39, 9.88462, 5.78289, 0, 19.5
5.5, 39, 9.85897, 5.80445, 0, 19.5
6.5, 39, 9.83333, 5.82142, 0, 19.5
4, 39, 9.89744, 5.77037, 0, 19.5
5, 39, 9.87179, 5.79425, 0, 19.5
19, 39, 9.51282, 5.64947, 0, 19.5
18, 39, 9.53846, 5.69005, 0, 19.5
17, 39, 9.5641, 5.72576, 0, 19.5
7.5, 39, 9.80769, 5.83383, 0, 19.5
10.5, 39, 9.73077, 5.84396, 0, 19.5
6, 39, 9.84615, 5.81351, 0, 19.5
3, 39, 9.92308, 5.74182, 0, 19.5
15.5, 39, 9.60256, 5.77037, 0, 19.5
9, 39, 9.76923, 5.84396, 0, 19.5
# End DSStatGroupByModule

# extents: 0.00 MB -> 0.02 MB in 0.00 secs decode time
#                    common
# MB compressed:       0.00
# MB uncompressed:     0.02
# decode seconds:      0.00
# wait fraction:       0.00
