# Extent Types ...
<ExtentType name="DataSeries: ExtentIndex">
  <field type="int64" name="offset" />
  <field type="variable32" name="extenttype" />
</ExtentType>

<ExtentType name="DataSeries: XmlType">
  <field type="variable32" name="xmltype" />
</ExtentType>

<ExtentType name="Test::Simple" namespace="ssd.hpl.hp.com" version="1.0">  <field type="double" name="a" />  <field type="double" name="b" />  <field type="double" name="c" />  <field type="variable32" name="d" />  <field type="variable32" name="e" /></ExtentType>
# Extent, type='Test::Simple'
a b c d e
0 0 0 0 0
0 0.5 0 0 0.5
0 1 0 0 1
0 1.5 0 0 1.5
0 2 0 0 2
0 2.5 0 0 2.5
0 3 0 0 3
0 3.5 0 0 3.5
0 4 0 0 4
0 4.5 0 0 4.5
0 5 0 0 5
0 5.5 0 0 5.5
0 6 0 0 6
0 6.5 0 0 6.5
0 7 0 0 7
0 7.5 0 0 7.5
0 8 0 0 8
0 8.5 0 0 8.5
0 9 0 0 9
0 9.5 0 0 9.5
0 10 0 0 10
0 10.5 0 0 10.5
0 11 0 0 11
0 11.5 0 0 11.5
0 12 0 0 12
0 12.5 0 0 12.5
0 13 0 0 13
0 13.5 0 0 13.5
0 14 0 0 14
0 14.5 0 0 14.5
0 15 0 0 15
0 15.5 0 0 15.5
0 16 0 0 16
0 16.5 0 0 16.5
0 17 0 0 17
0 17.5 0 0 17.5
0 18 0 0 18
0 18.5 0 0 18.5
0 19 0 0 19
0 19.5 0 0 19.5
0.5 0 0 0.5 0
0.5 0.5 0.25 0.5 0.5
0.5 1 0.5 0.5 1
0.5 1.5 0.75 0.5 1.5
0.5 2 1 0.5 2
0.5 2.5 1.25 0.5 2.5
0.5 3 1.5 0.5 3
0.5 3.5 1.75 0.5 3.5
0.5 4 2 0.5 4
0.5 4.5 2.25 0.5 4.5
0.5 5 2.5 0.5 5
0.5 5.5 2.75 0.5 5.5
0.5 6 3 0.5 6
0.5 6.5 3.25 0.5 6.5
0.5 7 3.5 0.5 7
0.5 7.5 3.75 0.5 7.5
0.5 8 4 0.5 8
0.5 8.5 4.25 0.5 8.5
0.5 9 4.5 0.5 9
0.5 9.5 4.75 0.5 9.5
0.5 10 5 0.5 10
0.5 10.5 5.25 0.5 10.5
0.5 11 5.5 0.5 11
0.5 11.5 5.75 0.5 11.5
0.5 12 6 0.5 12
0.5 12.5 6.25 0.5 12.5
0.5 13 6.5 0.5 13
0.5 13.5 6.75 0.5 13.5
0.5 14 7 0.5 14
0.5 14.5 7.25 0.5 14.5
0.5 15 7.5 0.5 15
0.5 15.5 7.75 0.5 15.5
0.5 16 8 0.5 16
0.5 16.5 8.25 0.5 16.5
0.5 17 8.5 0.5 17
0.5 17.5 8.75 0.5 17.5
0.5 18 9 0.5 18
0.5 18.5 9.25 0.5 18.5
0.5 19 9.5 0.5 19
0.5 19.5 9.75 0.5 19.5
1 0 0 1 0
1 0.5 0.5 1 0.5
1 1 1 1 1
1 1.5 1.5 1 1.5
1 2 2 1 2
1 2.5 2.5 1 2.5
1 3 3 1 3
1 3.5 3.5 1 3.5
1 4 4 1 4
1 4.5 4.5 1 4.5
1 5 5 1 5
1 5.5 5.5 1 5.5
1 6 6 1 6
1 6.5 6.5 1 6.5
1 7 7 1 7
1 7.5 7.5 1 7.5
1 8 8 1 8
1 8.5 8.5 1 8.5
1 9 9 1 9
1 9.5 9.5 1 9.5
1 10 10 1 10
1 10.5 10.5 1 10.5
1 11 11 1 11
1 11.5 11.5 1 11.5
1 12 12 1 12
1 12.5 12.5 1 12.5
1 13 13 1 13
1 13.5 13.5 1 13.5
1 14 14 1 14
1 14.5 14.5 1 14.5
1 15 15 1 15
1 15.5 15.5 1 15.5
1 16 16 1 16
1 16.5 16.5 1 16.5
1 17 17 1 17
1 17.5 17.5 1 17.5
1 18 18 1 18
1 18.5 18.5 1 18.5
1 19 19 1 19
1 19.5 19.5 1 19.5
1.5 0 0 1.5 0
1.5 0.5 0.75 1.5 0.5
1.5 1 1.5 1.5 1
1.5 1.5 2.25 1.5 1.5
1.5 2 3 1.5 2
1.5 2.5 3.75 1.5 2.5
1.5 3 4.5 1.5 3
1.5 3.5 5.25 1.5 3.5
1.5 4 6 1.5 4
1.5 4.5 6.75 1.5 4.5
1.5 5 7.5 1.5 5
1.5 5.5 8.25 1.5 5.5
1.5 6 9 1.5 6
1.5 6.5 9.75 1.5 6.5
1.5 7 10.5 1.5 7
1.5 7.5 11.25 1.5 7.5
1.5 8 12 1.5 8
1.5 8.5 12.75 1.5 8.5
1.5 9 13.5 1.5 9
1.5 9.5 14.25 1.5 9.5
1.5 10 15 1.5 10
1.5 10.5 15.75 1.5 10.5
1.5 11 16.5 1.5 11
1.5 11.5 17.25 1.5 11.5
1.5 12 18 1.5 12
1.5 12.5 18.75 1.5 12.5
1.5 13 19.5 1.5 13
1.5 13.5 20.25 1.5 13.5
1.5 14 21 1.5 14
1.5 14.5 21.75 1.5 14.5
1.5 15 22.5 1.5 15
1.5 15.5 23.25 1.5 15.5
1.5 16 24 1.5 16
1.5 16.5 24.75 1.5 16.5
1.5 17 25.5 1.5 17
1.5 17.5 26.25 1.5 17.5
1.5 18 27 1.5 18
1.5 18.5 27.75 1.5 18.5
1.5 19 28.5 1.5 19
1.5 19.5 29.25 1.5 19.5
2 0 0 2 0
2 0.5 1 2 0.5
2 1 2 2 1
2 1.5 3 2 1.5
2 2 4 2 2
2 2.5 5 2 2.5
2 3 6 2 3
2 3.5 7 2 3.5
2 4 8 2 4
2 4.5 9 2 4.5
2 5 10 2 5
2 5.5 11 2 5.5
2 6 12 2 6
2 6.5 13 2 6.5
2 7 14 2 7
2 7.5 15 2 7.5
2 8 16 2 8
2 8.5 17 2 8.5
2 9 18 2 9
2 9.5 19 2 9.5
2 10 20 2 10
2 10.5 21 2 10.5
2 11 22 2 11
2 11.5 23 2 11.5
2 12 24 2 12
2 12.5 25 2 12.5
2 13 26 2 13
2 13.5 27 2 13.5
2 14 28 2 14
2 14.5 29 2 14.5
2 15 30 2 15
2 15.5 31 2 15.5
2 16 32 2 16
2 16.5 33 2 16.5
2 17 34 2 17
2 17.5 35 2 17.5
2 18 36 2 18
2 18.5 37 2 18.5
2 19 38 2 19
2 19.5 39 2 19.5
2.5 0 0 2.5 0
2.5 0.5 1.25 2.5 0.5
2.5 1 2.5 2.5 1
2.5 1.5 3.75 2.5 1.5
2.5 2 5 2.5 2
2.5 2.5 6.25 2.5 2.5
2.5 3 7.5 2.5 3
2.5 3.5 8.75 2.5 3.5
2.5 4 10 2.5 4
2.5 4.5 11.25 2.5 4.5
2.5 5 12.5 2.5 5
2.5 5.5 13.75 2.5 5.5
2.5 6 15 2.5 6
2.5 6.5 16.25 2.5 6.5
2.5 7 17.5 2.5 7
2.5 7.5 18.75 2.5 7.5
2.5 8 20 2.5 8
2.5 8.5 21.25 2.5 8.5
2.5 9 22.5 2.5 9
2.5 9.5 23.75 2.5 9.5
2.5 10 25 2.5 10
2.5 10.5 26.25 2.5 10.5
2.5 11 27.5 2.5 11
2.5 11.5 28.75 2.5 11.5
2.5 12 30 2.5 12
2.5 12.5 31.25 2.5 12.5
2.5 13 32.5 2.5 13
2.5 13.5 33.75 2.5 13.5
2.5 14 35 2.5 14
2.5 14.5 36.25 2.5 14.5
2.5 15 37.5 2.5 15
2.5 15.5 38.75 2.5 15.5
2.5 16 40 2.5 16
2.5 16.5 41.25 2.5 16.5
2.5 17 42.5 2.5 17
2.5 17.5 43.75 2.5 17.5
2.5 18 45 2.5 18
2.5 18.5 46.25 2.5 18.5
2.5 19 47.5 2.5 19
2.5 19.5 48.75 2.5 19.5
3 0 0 3 0
3 0.5 1.5 3 0.5
3 1 3 3 1
3 1.5 4.5 3 1.5
3 2 6 3 2
3 2.5 7.5 3 2.5
3 3 9 3 3
3 3.5 10.5 3 3.5
3 4 12 3 4
3 4.5 13.5 3 4.5
3 5 15 3 5
3 5.5 16.5 3 5.5
3 6 18 3 6
3 6.5 19.5 3 6.5
3 7 21 3 7
3 7.5 22.5 3 7.5
3 8 24 3 8
3 8.5 25.5 3 8.5
3 9 27 3 9
3 9.5 28.5 3 9.5
3 10 30 3 10
3 10.5 31.5 3 10.5
3 11 33 3 11
3 11.5 34.5 3 11.5
3 12 36 3 12
3 12.5 37.5 3 12.5
3 13 39 3 13
3 13.5 40.5 3 13.5
3 14 42 3 14
3 14.5 43.5 3 14.5
3 15 45 3 15
3 15.5 46.5 3 15.5
3 16 48 3 16
3 16.5 49.5 3 16.5
3 17 51 3 17
3 17.5 52.5 3 17.5
3 18 54 3 18
3 18.5 55.5 3 18.5
3 19 57 3 19
3 19.5 58.5 3 19.5
3.5 0 0 3.5 0
3.5 0.5 1.75 3.5 0.5
3.5 1 3.5 3.5 1
3.5 1.5 5.25 3.5 1.5
3.5 2 7 3.5 2
3.5 2.5 8.75 3.5 2.5
3.5 3 10.5 3.5 3
3.5 3.5 12.25 3.5 3.5
3.5 4 14 3.5 4
3.5 4.5 15.75 3.5 4.5
3.5 5 17.5 3.5 5
3.5 5.5 19.25 3.5 5.5
3.5 6 21 3.5 6
3.5 6.5 22.75 3.5 6.5
3.5 7 24.5 3.5 7
3.5 7.5 26.25 3.5 7.5
3.5 8 28 3.5 8
3.5 8.5 29.75 3.5 8.5
3.5 9 31.5 3.5 9
3.5 9.5 33.25 3.5 9.5
3.5 10 35 3.5 10
3.5 10.5 36.75 3.5 10.5
3.5 11 38.5 3.5 11
3.5 11.5 40.25 3.5 11.5
3.5 12 42 3.5 12
3.5 12.5 43.75 3.5 12.5
3.5 13 45.5 3.5 13
3.5 13.5 47.25 3.5 13.5
3.5 14 49 3.5 14
3.5 14.5 50.75 3.5 14.5
3.5 15 52.5 3.5 15
3.5 15.5 54.25 3.5 15.5
3.5 16 56 3.5 16
3.5 16.5 57.75 3.5 16.5
3.5 17 59.5 3.5 17
3.5 17.5 61.25 3.5 17.5
3.5 18 63 3.5 18
3.5 18.5 64.75 3.5 18.5
3.5 19 66.5 3.5 19
3.5 19.5 68.25 3.5 19.5
4 0 0 4 0
4 0.5 2 4 0.5
4 1 4 4 1
4 1.5 6 4 1.5
4 2 8 4 2
4 2.5 10 4 2.5
4 3 12 4 3
4 3.5 14 4 3.5
4 4 16 4 4
4 4.5 18 4 4.5
4 5 20 4 5
4 5.5 22 4 5.5
4 6 24 4 6
4 6.5 26 4 6.5
4 7 28 4 7
4 7.5 30 4 7.5
4 8 32 4 8
4 8.5 34 4 8.5
4 9 36 4 9
4 9.5 38 4 9.5
4 10 40 4 10
# Extent, type='Test::Simple'
a b c d e
4 10.5 42 4 10.5
4 11 44 4 11
4 11.5 46 4 11.5
4 12 48 4 12
4 12.5 50 4 12.5
4 13 52 4 13
4 13.5 54 4 13.5
4 14 56 4 14
4 14.5 58 4 14.5
4 15 60 4 15
4 15.5 62 4 15.5
4 16 64 4 16
4 16.5 66 4 16.5
4 17 68 4 17
4 17.5 70 4 17.5
4 18 72 4 18
4 18.5 74 4 18.5
4 19 76 4 19
4 19.5 78 4 19.5
4.5 0 0 4.5 0
4.5 0.5 2.25 4.5 0.5
4.5 1 4.5 4.5 1
4.5 1.5 6.75 4.5 1.5
4.5 2 9 4.5 2
4.5 2.5 11.25 4.5 2.5
4.5 3 13.5 4.5 3
4.5 3.5 15.75 4.5 3.5
4.5 4 18 4.5 4
4.5 4.5 20.25 4.5 4.5
4.5 5 22.5 4.5 5
4.5 5.5 24.75 4.5 5.5
4.5 6 27 4.5 6
4.5 6.5 29.25 4.5 6.5
4.5 7 31.5 4.5 7
4.5 7.5 33.75 4.5 7.5
4.5 8 36 4.5 8
4.5 8.5 38.25 4.5 8.5
4.5 9 40.5 4.5 9
4.5 9.5 42.75 4.5 9.5
4.5 10 45 4.5 10
